12,08,20,34,25
19,08,20,46,21
21,08,20,43,23
28,08,20,51,24
05,09,20,35,28
14,09,20,34,34
22,09,20,36,33
30,09,20,35,31
05,10,20,33,21
15,10,20,45,27
23,10,20,53,26
31,10,20,53,27
05,11,20,52,26
14,11,20,51,23
22,11,20,52,27
30,11,20,51,24
05,12,20,51,19
14,12,20,50,21
13,12,20,50,18
30,12,20,36,25
05,01,21,33,21
14,01,21,36,24
23,01,21,35,26
31,01,21,34,25
05,02,21,36,23
11,02,21,35,24
20,02,21,33,26
27,02,21,55,27
05,03,21,53,26
15,03,21,53,27
22,03,21,52,26
30,03,21,51,26
05,04,21,52,27
15,04,21,51,24
23,04,21,51,22
30,04,21,50,23
05,05,21,50,27
15,05,21,50,24
21,05,21,50,22
31,05,21,33,26
05,06,21,55,27
14,06,21,53,26
21,06,21,53,27
30,06,21,52,26
05,07,21,51,26
14,07,21,52,27
22,07,21,54,27
30,07,21,51,26
05,08,21,50,27
14,08,21,53,26
23,08,21,55,24
31,08,21,52,27
05,09,21,53,25
14,09,21,52,26
23,09,21,51,24
30,09,21,52,27
05,10,21,51,25
13,10,21,51,26
24,10,21,50,24
31,10,21,54,27
05,11,21,42,26
12,11,21,51,23
